,Authors,Quotes,Likes,tags
15,"Michelle Obama,","“Friendships between women, as any woman will tell you, are built of a thousand small kindnesses... swapped back and forth and over again.”",288,"['friendship,', 'kindness']"
16,"Kathryn Stockett,","“That's what I love about Aibileen, she can take the most complicated things in life and wrap them up so small and simple, they'll fit right in your pocket.”",281,"['friend,', 'friendship,', 'life,', 'love,', 'problems']"
17,Charles Caleb Colton,“Friendship often ends in love. But love in friendship; never.”,279,"['friendship,', 'love']"
18,"Jess C Scott,","“Please, touch me, I pray.”",279,"['desire,', 'friendship,', 'funny,', 'girl,', 'hip-hop,', 'honesty,', 'humor,', 'humour,', 'imagination,', 'individuality,', 'life,', 'love,', 'lust,', 'lust-for-life,', 'music,', 'novel,', 'passion,', 'reality,', 'relationships,', 'romance,', 'self,', 'sex,', 'truth,', 'wisdom,', 'young,', 'young-adult,', 'young-adult-fiction,', 'young-adult-literature,', 'young-adult-novels,', 'young-adults']"
19,"Aldous Huxley,","“One of the principal functions of a friend is to suffer (in a milder and symbolic form) the punishments that we should like, but are unable, to inflict upon our enemies.”",278,"['friendship,', 'huxley,', 'suffering']"
20,"Muriel Barbery,","“If you have but one friend, make sure you choose her well.”",278,['friendship']
21,"محمد المخزنجي,",“إن السعادة هي أن أشرب كوب شاي.. مع صديق.. في لحظة رضا.”,275,"['friendship,', 'happiness,', 'life']"
22,Abraham Lincoln,“The better part of one's life consists of his friendships.”,274,['friendship']
23,"Becky Albertalli,",“He tells me to pick the music. I’m not sure if he knows that handing me his iPod is like handing me the window to his soul.”,272,"['friendship,', 'love,', 'music']"
24,"David Levithan,","“There's no way for them to take away my sadness, but they can make sure I am not empty of all the other feelings.”",268,"['comfort,', 'friendship']"
25,Benjamin Franklin,"“Be slow in choosing a friend, slower in changing.”",263,"['benjamin-franklin,', 'friendship']"
26,"Scott Dikkers,","“A true friend is a gift from God. Since God doesn't exist, guess what? Neither do true friends.”",261,"['atheism,', 'cynicism,', 'friendship,', 'humor']"
27,"John Green,","“The way I figure it, everyone gets a miracle.”",261,"['college,', 'friendship,', 'missing-person,', 'prom,', 'road-trip,', 'teen-novel,', 'young-adults']"
28,"Kody Keplinger,","“I was the Duff. And that was a good thing. Because anyone who didn't feel like the Duff must not have friends. Every girl feels unattractive sometimes. Why had it taken me so long to figure that out? Why had I been stressing over that dumb word for so long when it was so simple? I should be proud to be the Duff. Proud to have great friends who, in their minds, were my Duffs.”",251,"['confidence,', 'friends,', 'friendship,', 'self-confidence,', 'yourself,', 'youth']"
29,"Epicurus,","“Of all the means to insure happiness throughout the whole life, by far the most important is the acquisition of friends.”",250,"['friendship,', 'happiness']"
