,Authors,Quotes,Likes,tags
4,"Alexander McCall Smith,",“You can go through life and make new friends every year - every month practically - but there was never any substitute for those friendships of childhood that survive into adult years. Those are the ones in which we are bound to one another with hoops of steel.”,2266,['friendship']
5,"John Steinbeck,","“I got you to look after me, and you got me to look after you, and that's",2255,"['friends,', 'friendship']"
6,Sylvia Plath,"“We should meet in another life, we should meet in air, me and you.”",2252,"['couples,', 'friendship']"
7,"J.K. Rowling,","“Harry - you're a great wizard, you know.""",2225,"['bravery,', 'friendship,', 'greatness,', 'loyalty']"
8,"Amos Bronson Alcott,",“Stay is a charming word in a friend's vocabulary.”,2192,['friendship']
9,"Haruki Murakami,","“Is it possible, in the final analysis, for one human being to achieve perfect understanding of another?",2132,"['essence,', 'friendship,', 'important,', 'love,', 'people,', 'philosophy,', 'possibility,', 'thought']"
10,Richard Bach,"“Can miles truly separate you from friends... If you want to be with someone you love, aren't you already there?”",2085,['friendship']
11,"Sylvia Plath,",“There is nothing like puking with somebody to make you into old friends.”,2081,"['friendship,', 'humor,', 'shared-ordeal']"
12,George Herbert,“The best mirror is an old friend.”,1972,['friendship']
13,Marilyn Monroe,"“When you have a good friend that really cares for you and tries to stick in there with you, you treat them like nothing. Learn to be a good friend because one day you're gonna look up and say I lost a good friend. Learn how to be respectful to your friends, don't just start arguments with them and don't tell them the reason, always remember your friends will be there quicker than your family. Learn to remember you got great friends, don't forget that and they will always care for you no matter what. Always remember to smile and look up at what you got in life.”",1946,"['friendship,', 'gratitude,', 'loyalty']"
14,"Rick Riordan,","“Once she was gone, I knelt next to Annabeth and felt her forehead. She was still burning up.",1901,"['annabeth-chase,', 'debt,', 'favor,', 'friendship,', 'knife,', 'percy-jackson']"
15,"A.A. Milne,","“Piglet noticed that even though he had a Very Small Heart, it could hold a rather large amount of Gratitude.”",1898,"['friends,', 'friendship,', 'gratitude']"
16,"Criss Jami,","“To say that one waits a lifetime for his soulmate to come around is a paradox. People eventually get sick of waiting, take a chance on someone, and by the art of commitment become soulmates, which takes a lifetime to perfect.”",1821,"['chances,', 'commitment,', 'courtship,', 'dating,', 'faithfulness,', 'friendship,', 'love,', 'marriage,', 'mates,', 'patience,', 'relationships,', 'risk-taking,', 'soulmates,', 'waiting-for-true-love']"
17,marilyn monroe,“Friendship is the bestiest thing that comes to life . Friends will always be there for you don't worry about the fakes worry about the people who had your back from the start and never treated you wrong always remember they are your real friends don't never take them as granted because one day your going to lose a good friend by the way your action's are when you see a good friend stick to that person .”,1810,"['friendship,', 'superlatives']"
18,"F. Scott Fitzgerald,","“They’re a rotten crowd’, I shouted across the lawn. ‘You’re worth the whole damn bunch put together.”",1792,"['friendship,', 'gatsby']"
19,"Whitney Otto,","“Why are old lovers able to become friends? Two reasons. They never truly loved each other, or they love each other still.”",1745,"['exes,', 'friendship,', 'love']"
20,Barbara Kingsolver,“The friend who holds your hand and says the wrong thing is made of dearer stuff than the one who stays away.”,1740,['friendship']
21,"Rachel Cohn,",“It's bullshit to think of friendship and romance as being different. They're not. They're just variations of the same love. Variations of the same desire to be close.”,1740,"['friendship,', 'love,', 'romance']"
